,Aboraginal Identity,None Aboraginal Identity,High Income
Newfoundland and Labrador,36270.0,401665.0,39516
Prince Edward Island,1995.0,115055.0,30439
Nova Scotia,39970.0,734780.0,37401
New Brunswick,22600.0,597795.0,34844
Quebec,142870.0,6491410.0,87632
Ontario,284845.0,10753595.0,193474
Manitoba,153545.0,847765.0,45378
Saskatchewan,117325.0,739970.0,53819
Alberta,183455.0,3022595.0,133625
British Columbia,200650.0,3669725.0,95634
Yukon,6280.0,22595.0,43574
Northwest Territories,15560.0,16770.0,58471
Nunavut,19560.0,4375.0,68458
